Wavelength (nm),BCPLiu _n,BCPLiu_k
300,1.88212,1.60599
301,1.88212,1.60599
302,1.88271,1.59468
303,1.88329,1.58336
304,1.88388,1.57205
305,1.88447,1.562
306,1.88506,1.55357
307,1.88565,1.54635
308,1.88624,1.54574
309,1.88682,1.54514
310,1.88741,1.54453
311,1.888,1.54393
312,1.88859,1.54332
313,1.88918,1.54272
314,1.88977,1.54211
315,1.89036,1.54151
316,1.89491,1.5409
317,1.90042,1.5403
318,1.90593,1.53969
319,1.91191,1.53877
320,1.92227,1.53603
321,1.93263,1.53329
322,1.94299,1.53055
323,1.95335,1.52781
324,1.95975,1.52507
325,1.96434,1.51954
326,1.96892,1.51362
327,1.97351,1.5077
328,1.97757,1.50178
329,1.97987,1.49586
330,1.98217,1.48995
331,1.98447,1.48403
332,1.98677,1.47811
333,1.98906,1.47027
334,1.98779,1.46081
335,1.98653,1.45134
336,1.98527,1.44188
337,1.98401,1.43241
338,1.98275,1.42206
339,1.98149,1.41167
340,1.98022,1.40128
341,1.97896,1.39151
342,1.9777,1.38559
343,1.97644,1.37967
344,1.97439,1.37375
345,1.97152,1.36783
346,1.96864,1.36191
347,1.96576,1.35599
348,1.963,1.35007
349,1.96028,1.34415
350,1.95756,1.34127
351,1.95484,1.33914
352,1.95212,1.337
353,1.9494,1.33487
354,1.94669,1.33273
355,1.9439,1.3306
356,1.94084,1.32846
357,1.93778,1.32633
358,1.93472,1.32419
359,1.93165,1.32206
360,1.92859,1.31992
361,1.92553,1.31779
362,1.92247,1.31565
363,1.9194,1.31352
364,1.91645,1.31138
365,1.91417,1.30925
366,1.9119,1.30838
367,1.90962,1.30751
368,1.90734,1.30664
369,1.90506,1.30577
370,1.90278,1.3049
371,1.90051,1.30404
372,1.89823,1.30317
373,1.89595,1.3023
374,1.89367,1.30143
375,1.89139,1.30056
376,1.88912,1.29969
377,1.88684,1.29882
378,1.88456,1.29795
379,1.88228,1.29709
380,1.88,1.29622
381,1.87773,1.29535
382,1.87545,1.29448
383,1.87317,1.29361
384,1.87111,1.29274
385,1.8692,1.29187
386,1.8673,1.291
387,1.8654,1.29014
388,1.8635,1.28927
389,1.8616,1.2884
390,1.85969,1.28753
391,1.85779,1.28666
392,1.85589,1.28579
393,1.85399,1.28492
394,1.85209,1.28405
395,1.85018,1.28318
396,1.84857,1.28232
397,1.8472,1.28145
398,1.84583,1.28058
399,1.84447,1.27971
400,1.8431,1.27884
401,1.84173,1.27797
402,1.84036,1.2771
403,1.839,1.27653
404,1.83763,1.2763
405,1.83626,1.27607
406,1.83489,1.27583
407,1.83353,1.2756
408,1.83216,1.27537
409,1.83079,1.27514
410,1.82942,1.2749
411,1.82806,1.27467
412,1.82669,1.27444
413,1.82532,1.2742
414,1.82396,1.27397
415,1.82259,1.27374
416,1.82129,1.27351
417,1.82019,1.27327
418,1.81909,1.27304
419,1.81799,1.27281
420,1.81689,1.27258
421,1.81579,1.27234
422,1.81469,1.27211
423,1.81359,1.27188
424,1.81249,1.27164
425,1.81139,1.27141
426,1.81029,1.27118
427,1.80919,1.27095
428,1.80809,1.27071
429,1.80699,1.27048
430,1.80589,1.27025
431,1.80501,1.27002
432,1.80412,1.26978
433,1.80324,1.26955
434,1.80236,1.26932
435,1.80148,1.26909
436,1.8006,1.26885
437,1.79971,1.26862
438,1.79883,1.26839
439,1.79795,1.26815
440,1.79707,1.26792
441,1.79618,1.26769
442,1.7953,1.26746
443,1.79442,1.26722
444,1.79354,1.26699
445,1.79266,1.26681
446,1.79177,1.26669
447,1.79089,1.26656
448,1.79001,1.26644
449,1.78913,1.26631
450,1.78825,1.26619
451,1.78736,1.26606
452,1.78648,1.26594
453,1.7856,1.26581
454,1.78484,1.26569
455,1.78414,1.26556
456,1.78343,1.26544
457,1.78273,1.26531
458,1.78202,1.26519
459,1.78132,1.26506
460,1.78061,1.26494
461,1.77991,1.26481
462,1.77921,1.26469
463,1.7785,1.26456
464,1.7778,1.26444
465,1.77709,1.26431
466,1.77643,1.26419
467,1.77578,1.26406
468,1.77514,1.26394
469,1.77449,1.26381
470,1.77385,1.26369
471,1.7732,1.26356
472,1.77256,1.26344
473,1.77191,1.26331
474,1.77127,1.26319
475,1.77062,1.26306
476,1.76998,1.26294
477,1.76933,1.26281
478,1.76869,1.26269
479,1.76804,1.26256
480,1.7674,1.26244
481,1.76675,1.26231
482,1.76611,1.26219
483,1.76546,1.26206
484,1.76482,1.26194
485,1.76417,1.26181
486,1.76353,1.26169
487,1.76288,1.26156
488,1.76224,1.26144
489,1.76159,1.26131
490,1.76095,1.26119
491,1.7603,1.26106
492,1.75976,1.26094
493,1.75933,1.26081
494,1.75891,1.26069
495,1.75849,1.26062
496,1.75807,1.26055
497,1.75765,1.26048
498,1.75723,1.26041
499,1.7568,1.26034
500,1.75638,1.26027
501,1.75596,1.2602
502,1.75554,1.26013
503,1.75512,1.26006
504,1.7547,1.25999
505,1.75427,1.25992
506,1.75385,1.25985
507,1.75343,1.25978
508,1.75301,1.25971
509,1.75259,1.25964
510,1.75217,1.25956
511,1.75174,1.25949
512,1.75132,1.25942
513,1.7509,1.25935
514,1.75048,1.25928
515,1.75006,1.25921
516,1.74963,1.25914
517,1.74921,1.25907
518,1.74879,1.259
519,1.74837,1.25893
520,1.74795,1.25886
521,1.74753,1.25879
522,1.7471,1.25872
523,1.74668,1.25865
524,1.74626,1.25858
525,1.74584,1.25851
526,1.74542,1.25844
527,1.74506,1.25837
528,1.74471,1.2583
529,1.74436,1.25823
530,1.744,1.25816
531,1.74365,1.25809
532,1.7433,1.25802
533,1.74295,1.25795
534,1.7426,1.25788
535,1.74224,1.25781
536,1.74189,1.25774
537,1.74154,1.25767
538,1.74119,1.2576
539,1.74083,1.25753
540,1.74048,1.25746
541,1.74013,1.25738
542,1.73978,1.25731
543,1.73943,1.25724
544,1.73907,1.25717
545,1.73872,1.2571
546,1.73837,1.25703
547,1.73802,1.25696
548,1.73766,1.25689
549,1.73731,1.25682
550,1.73696,1.25675
551,1.73661,1.25668
552,1.73626,1.25661
553,1.7359,1.25654
554,1.73555,1.25647
555,1.7352,1.2564
556,1.73485,1.25633
557,1.7345,1.25626
558,1.73414,1.25619
559,1.73379,1.25612
560,1.73344,1.25605
561,1.73311,1.25598
562,1.73283,1.25591
563,1.73254,1.25584
564,1.73225,1.25577
565,1.73196,1.2557
566,1.73167,1.25563
567,1.73138,1.25561
568,1.73109,1.25559
569,1.73081,1.25557
570,1.73052,1.25554
571,1.73023,1.25552
572,1.72994,1.2555
573,1.72965,1.25548
574,1.72936,1.25546
575,1.72907,1.25544
576,1.72878,1.25542
577,1.7285,1.25539
578,1.72821,1.25537
579,1.72792,1.25535
580,1.72763,1.25533
581,1.72734,1.25531
582,1.72705,1.25529
583,1.72676,1.25527
584,1.72648,1.25524
585,1.72619,1.25522
586,1.7259,1.2552
587,1.72561,1.25518
588,1.72532,1.25516
589,1.72503,1.25514
590,1.72474,1.25512
591,1.72445,1.2551
592,1.72417,1.25507
593,1.72388,1.25505
594,1.72359,1.25503
595,1.72335,1.25501
596,1.72312,1.25499
597,1.7229,1.25497
598,1.72268,1.25495
599,1.72246,1.25492
600,1.72224,1.2549
601,1.72201,1.25488
602,1.72179,1.25486
603,1.72157,1.25484
604,1.72135,1.25482
605,1.72112,1.2548
606,1.7209,1.25478
607,1.72068,1.25475
608,1.72046,1.25473
609,1.72024,1.25471
610,1.72001,1.25469
611,1.71979,1.25467
612,1.71957,1.25465
613,1.71935,1.25463
614,1.71912,1.2546
615,1.7189,1.25458
616,1.71868,1.25456
617,1.71846,1.25454
618,1.71824,1.25452
619,1.71801,1.2545
620,1.71779,1.25448
621,1.71757,1.25445
622,1.71735,1.25443
623,1.71713,1.25441
624,1.7169,1.25439
625,1.71668,1.25437
626,1.71646,1.25435
627,1.71624,1.25433
628,1.71602,1.25431
629,1.71582,1.25428
630,1.71561,1.25426
631,1.7154,1.25424
632,1.71519,1.25422
633,1.71498,1.2542
634,1.71477,1.2542
635,1.71457,1.25422
636,1.71436,1.25423
637,1.71415,1.25425
638,1.71394,1.25427
639,1.71373,1.25428
640,1.71352,1.2543
641,1.71332,1.25432
642,1.71311,1.25433
643,1.7129,1.25435
644,1.71269,1.25437
645,1.71248,1.25438
646,1.71227,1.2544
647,1.71207,1.25442
648,1.71186,1.25443
649,1.71165,1.25445
650,1.71144,1.25447
651,1.71123,1.25448
652,1.71102,1.2545
653,1.71082,1.25452
654,1.71061,1.25453
655,1.7104,1.25455
656,1.71019,1.25457
657,1.70998,1.25458
658,1.70978,1.2546
659,1.70957,1.25462
660,1.70936,1.25463
661,1.70915,1.25465
662,1.70894,1.25467
663,1.70876,1.25468
664,1.70861,1.2547
665,1.70845,1.25472
666,1.7083,1.25473
667,1.70815,1.25475
668,1.708,1.25477
669,1.70784,1.25478
670,1.70769,1.2548
671,1.70754,1.25482
672,1.70739,1.25483
673,1.70723,1.25485
674,1.70708,1.25487
675,1.70693,1.25488
676,1.70678,1.2549
677,1.70662,1.25492
678,1.70647,1.25493
679,1.70632,1.25495
680,1.70616,1.25497
681,1.70601,1.25498
682,1.70586,1.255
683,1.70571,1.25502
684,1.70555,1.25503
685,1.7054,1.25505
686,1.70525,1.25507
687,1.7051,1.25508
688,1.70494,1.2551
689,1.70479,1.25512
690,1.70464,1.25513
691,1.70449,1.25515
692,1.70433,1.25517
693,1.70418,1.25518
694,1.70403,1.25518
695,1.70389,1.25516
696,1.70378,1.25514
697,1.70367,1.25512
698,1.70356,1.2551
699,1.70345,1.25508
700,1.70334,1.25506
701,1.70324,1.25504
702,1.70313,1.25502
703,1.70302,1.255
704,1.70291,1.25498
705,1.7028,1.25496
706,1.7027,1.25494
707,1.70259,1.25492
708,1.70248,1.2549
709,1.70237,1.25488
710,1.70226,1.25486
711,1.70215,1.25484
712,1.70205,1.25482
713,1.70194,1.2548
714,1.70183,1.25478
715,1.70172,1.25476
716,1.70161,1.25474
717,1.70151,1.25472
718,1.7014,1.2547
719,1.70129,1.25468
720,1.70118,1.25466
721,1.70107,1.25464
722,1.70096,1.25462
723,1.70086,1.2546
724,1.70075,1.25458
725,1.70064,1.25456
726,1.70053,1.25454
727,1.70042,1.25452
728,1.70032,1.2545
729,1.70021,1.25448
730,1.70008,1.25446
731,1.69994,1.25444
732,1.6998,1.25442
733,1.69967,1.2544
734,1.69953,1.25438
735,1.69939,1.25436
736,1.69925,1.25434
737,1.69912,1.25432
738,1.69898,1.2543
739,1.69884,1.25428
740,1.6987,1.25426
741,1.69857,1.25424
742,1.69843,1.25422
743,1.69829,1.2542
744,1.69816,1.25418
745,1.69802,1.25416
746,1.69788,1.25414
747,1.69774,1.25412
748,1.69761,1.2541
749,1.69747,1.25408
750,1.69733,1.25406
751,1.69719,1.25404
752,1.69706,1.25402
753,1.69692,1.254
754,1.69678,1.25398
755,1.69665,1.25396
756,1.69651,1.25394
757,1.69637,1.25393
758,1.69623,1.25391
759,1.6961,1.25389
760,1.69596,1.25387
761,1.69582,1.25385
762,1.69568,1.25383
763,1.69555,1.25381
764,1.69541,1.25379
765,1.69527,1.25377
766,1.69518,1.25375
767,1.6951,1.25372
768,1.69502,1.2537
769,1.69494,1.25367
770,1.69486,1.25364
771,1.69478,1.25361
772,1.6947,1.25358
773,1.69462,1.25355
774,1.69454,1.25352
775,1.69446,1.25349
776,1.69438,1.25347
777,1.6943,1.25344
778,1.69422,1.25341
779,1.69414,1.25338
780,1.69406,1.25335
781,1.69398,1.25332
782,1.6939,1.25329
783,1.69382,1.25326
784,1.69374,1.25324
785,1.69366,1.25321
786,1.69358,1.25318
787,1.69351,1.25315
788,1.69343,1.25312
789,1.69335,1.25309
790,1.69327,1.25306
791,1.69319,1.25303
792,1.69311,1.253
793,1.69303,1.25298
794,1.69295,1.25295
795,1.69287,1.25292
796,1.69279,1.25289
797,1.6927,1.25286
798,1.6926,1.25283
799,1.69249,1.2528
800,1.69239,1.25277