Wavelength (nm),MoOx5nmVLC_n,MoOx5nmVLC_k
300,1.76053,0
301,1.75896,0
302,1.75743,0
303,1.75591,0
304,1.75441,0
305,1.75294,0
306,1.75149,0
307,1.75006,0
308,1.74865,0
309,1.74725,0
310,1.74589,0
311,1.74453,0
312,1.7432,0
313,1.74189,0
314,1.74059,0
315,1.73931,0
316,1.73805,0
317,1.7368,0
318,1.73558,0
319,1.73437,0
320,1.73318,0
321,1.732,0
322,1.73084,0
323,1.72969,0
324,1.72856,0
325,1.72744,0
326,1.72635,0
327,1.72526,0
328,1.72419,0
329,1.72313,0
330,1.72209,0
331,1.72106,0
332,1.72004,0
333,1.71903,0
334,1.71804,0
335,1.71707,0
336,1.7161,0
337,1.71515,0
338,1.71421,0
339,1.71328,0
340,1.71236,0
341,1.71145,0
342,1.71056,0
343,1.70968,0
344,1.7088,0
345,1.70794,0
346,1.70709,0
347,1.70625,0
348,1.70542,0
349,1.7046,0
350,1.70379,0
351,1.70299,0
352,1.7022,0
353,1.70142,0
354,1.70065,0
355,1.69988,0
356,1.69913,0
357,1.69838,0
358,1.69765,0
359,1.69692,0
360,1.6962,0
361,1.69549,0
362,1.69479,0
363,1.6941,0
364,1.69341,0
365,1.69274,0
366,1.69207,0
367,1.6914,0
368,1.69075,0
369,1.6901,0
370,1.68946,0
371,1.68883,0
372,1.68821,0
373,1.68759,0
374,1.68698,0
375,1.68637,0
376,1.68577,0
377,1.68518,0
378,1.6846,0
379,1.68402,0
380,1.68345,0
381,1.68288,0
382,1.68233,0
383,1.68177,0
384,1.68122,0
385,1.68068,0
386,1.68015,0
387,1.67962,0
388,1.6791,0
389,1.67858,0
390,1.67806,0
391,1.67756,0
392,1.67706,0
393,1.67656,0
394,1.67607,0
395,1.67558,0
396,1.6751,0
397,1.67463,0
398,1.67415,0
399,1.67369,0
400,1.67323,0
401,1.67277,0
402,1.67232,0
403,1.67187,0
404,1.67143,0
405,1.67099,0
406,1.67056,0
407,1.67013,0
408,1.6697,0
409,1.66928,0
410,1.66887,0
411,1.66845,0
412,1.66805,0
413,1.66764,0
414,1.66724,0
415,1.66685,0
416,1.66645,0
417,1.66606,0
418,1.66568,0
419,1.6653,0
420,1.66492,0
421,1.66455,0
422,1.66418,0
423,1.66381,0
424,1.66345,0
425,1.66309,0
426,1.66273,0
427,1.66238,0
428,1.66203,0
429,1.66169,0
430,1.66134,0
431,1.661,0
432,1.66067,0
433,1.66034,0
434,1.66001,0
435,1.65968,0
436,1.65935,0
437,1.65903,0
438,1.65872,0
439,1.6584,0
440,1.65809,0
441,1.65778,0
442,1.65747,0
443,1.65717,0
444,1.65687,0
445,1.65657,0
446,1.65628,0
447,1.65598,0
448,1.65569,0
449,1.65541,0
450,1.65512,0
451,1.65484,0
452,1.65456,0
453,1.65428,0
454,1.65401,0
455,1.65374,0
456,1.65347,0
457,1.6532,0
458,1.65293,0
459,1.65267,0
460,1.65241,0
461,1.65215,0
462,1.65189,0
463,1.65164,0
464,1.65139,0
465,1.65114,0
466,1.65089,0
467,1.65065,0
468,1.6504,0
469,1.65016,0
470,1.64992,0
471,1.64968,0
472,1.64945,0
473,1.64922,0
474,1.64898,0
475,1.64876,0
476,1.64853,0
477,1.6483,0
478,1.64808,0
479,1.64786,0
480,1.64764,0
481,1.64742,0
482,1.6472,0
483,1.64699,0
484,1.64678,0
485,1.64656,0
486,1.64635,0
487,1.64615,0
488,1.64594,0
489,1.64574,0
490,1.64553,0
491,1.64533,0
492,1.64513,0
493,1.64494,0
494,1.64474,0
495,1.64454,0
496,1.64435,0
497,1.64416,0
498,1.64397,0
499,1.64378,0
500,1.64359,0
501,1.64341,0
502,1.64322,0
503,1.64304,0
504,1.64286,0
505,1.64268,0
506,1.6425,0
507,1.64232,0
508,1.64215,0
509,1.64197,0
510,1.6418,0
511,1.64163,0
512,1.64146,0
513,1.64129,0
514,1.64112,0
515,1.64095,0
516,1.64079,0
517,1.64062,0
518,1.64046,0
519,1.6403,0
520,1.64014,0
521,1.63998,0
522,1.63982,0
523,1.63966,0
524,1.63951,0
525,1.63935,0
526,1.6392,0
527,1.63905,0
528,1.63889,0
529,1.63874,0
530,1.63859,0
531,1.63845,0
532,1.6383,0
533,1.63815,0
534,1.63801,0
535,1.63786,0
536,1.63772,0
537,1.63758,0
538,1.63744,0
539,1.6373,0
540,1.63716,0
541,1.63702,0
542,1.63689,0
543,1.63675,0
544,1.63662,0
545,1.63648,0
546,1.63635,0
547,1.63622,0
548,1.63608,0
549,1.63596,0
550,1.63583,0
551,1.6357,0
552,1.63557,0
553,1.63544,0
554,1.63532,0
555,1.63519,0
556,1.63507,0
557,1.63495,0
558,1.63482,0
559,1.6347,0
560,1.63458,0
561,1.63446,0
562,1.63434,0
563,1.63422,0
564,1.63411,0
565,1.63399,0
566,1.63387,0
567,1.63376,0
568,1.63364,0
569,1.63353,0
570,1.63342,0
571,1.63331,0
572,1.63319,0
573,1.63308,0
574,1.63297,0
575,1.63286,0
576,1.63276,0
577,1.63265,0
578,1.63254,0
579,1.63243,0
580,1.63233,0
581,1.63222,0
582,1.63212,0
583,1.63202,0
584,1.63191,0
585,1.63181,0
586,1.63171,0
587,1.63161,0
588,1.63151,0
589,1.63141,0
590,1.63131,0
591,1.63121,0
592,1.63111,0
593,1.63102,0
594,1.63092,0
595,1.63082,0
596,1.63073,0
597,1.63063,0
598,1.63054,0
599,1.63045,0
600,1.63035,0
601,1.63026,0
602,1.63017,0
603,1.63008,0
604,1.62999,0
605,1.6299,0
606,1.62981,0
607,1.62972,0
608,1.62963,0
609,1.62954,0
610,1.62945,0
611,1.62937,0
612,1.62928,0
613,1.62919,0
614,1.62911,0
615,1.62902,0
616,1.62894,0
617,1.62886,0
618,1.62877,0
619,1.62869,0
620,1.62861,0
621,1.62853,0
622,1.62845,0
623,1.62837,0
624,1.62828,0
625,1.6282,0
626,1.62813,0
627,1.62805,0
628,1.62797,0
629,1.62789,0
630,1.62781,0
631,1.62773,0
632,1.62766,0
633,1.62758,0
634,1.62751,0
635,1.62743,0
636,1.62736,0
637,1.62728,0
638,1.62721,0
639,1.62713,0
640,1.62706,0
641,1.62699,0
642,1.62692,0
643,1.62685,0
644,1.62677,0
645,1.6267,0
646,1.62663,0
647,1.62656,0
648,1.62649,0
649,1.62642,0
650,1.62635,0
651,1.62628,0
652,1.62622,0
653,1.62615,0
654,1.62608,0
655,1.62601,0
656,1.62595,0
657,1.62588,0
658,1.62581,0
659,1.62575,0
660,1.62568,0
661,1.62562,0
662,1.62555,0
663,1.62549,0
664,1.62543,0
665,1.62536,0
666,1.6253,0
667,1.62524,0
668,1.62517,0
669,1.62511,0
670,1.62505,0
671,1.62499,0
672,1.62493,0
673,1.62487,0
674,1.62481,0
675,1.62475,0
676,1.62469,0
677,1.62463,0
678,1.62457,0
679,1.62451,0
680,1.62445,0
681,1.62439,0
682,1.62433,0
683,1.62428,0
684,1.62422,0
685,1.62416,0
686,1.6241,0
687,1.62405,0
688,1.62399,0
689,1.62394,0
690,1.62388,0
691,1.62383,0
692,1.62377,0
693,1.62372,0
694,1.62366,0
695,1.62361,0
696,1.62355,0
697,1.6235,0
698,1.62345,0
699,1.62339,0
700,1.62334,0
701,1.62329,0
702,1.62324,0
703,1.62318,0
704,1.62313,0
705,1.62308,0
706,1.62303,0
707,1.62298,0
708,1.62293,0
709,1.62288,0
710,1.62283,0
711,1.62278,0
712,1.62273,0
713,1.62268,0
714,1.62263,0
715,1.62258,0
716,1.62253,0
717,1.62249,0
718,1.62244,0
719,1.62239,0
720,1.62234,0
721,1.62229,0
722,1.62225,0
723,1.6222,0
724,1.62215,0
725,1.62211,0
726,1.62206,0
727,1.62201,0
728,1.62197,0
729,1.62192,0
730,1.62188,0
731,1.62183,0
732,1.62179,0
733,1.62174,0
734,1.6217,0
735,1.62165,0
736,1.62161,0
737,1.62157,0
738,1.62152,0
739,1.62148,0
740,1.62144,0
741,1.62139,0
742,1.62135,0
743,1.62131,0
744,1.62127,0
745,1.62122,0
746,1.62118,0
747,1.62114,0
748,1.6211,0
749,1.62106,0
750,1.62102,0
751,1.62097,0
752,1.62093,0
753,1.62089,0
754,1.62085,0
755,1.62081,0
756,1.62077,0
757,1.62073,0
758,1.62069,0
759,1.62065,0
760,1.62061,0
761,1.62058,0
762,1.62054,0
763,1.6205,0
764,1.62046,0
765,1.62042,0
766,1.62038,0
767,1.62035,0
768,1.62031,0
769,1.62027,0
770,1.62023,0
771,1.62019,0
772,1.62016,0
773,1.62012,0
774,1.62008,0
775,1.62005,0
776,1.62001,0
777,1.61997,0
778,1.61994,0
779,1.6199,0
780,1.61987,0
781,1.61983,0
782,1.61979,0
783,1.61976,0
784,1.61972,0
785,1.61969,0
786,1.61965,0
787,1.61962,0
788,1.61959,0
789,1.61955,0
790,1.61952,0
791,1.61948,0
792,1.61945,0
793,1.61941,0
794,1.61938,0
795,1.61935,0
796,1.61931,0
797,1.61928,0
798,1.61925,0
799,1.61921,0
800,1.61918,0
