Wavelength (nm),PC70BMVLC_n,PC70BMVLC_k
300,2.23199,0.50755
301,2.22999,0.50219
302,2.22799,0.49697
303,2.22598,0.49181
304,2.22398,0.48674
305,2.22198,0.48178
306,2.21998,0.47687
307,2.21798,0.47208
308,2.21599,0.46736
309,2.214,0.46269
310,2.21202,0.45815
311,2.21004,0.45366
312,2.20807,0.44924
313,2.20611,0.44491
314,2.20415,0.44063
315,2.2022,0.43644
316,2.20026,0.43232
317,2.19833,0.42824
318,2.19641,0.42426
319,2.19449,0.42033
320,2.19259,0.41645
321,2.19069,0.41266
322,2.18881,0.4089
323,2.18693,0.40522
324,2.18507,0.4016
325,2.18321,0.39801
326,2.18137,0.3945
327,2.17954,0.39104
328,2.17771,0.38762
329,2.17591,0.38427
330,2.17411,0.38096
331,2.17232,0.3777
332,2.17054,0.37449
333,2.16878,0.37132
334,2.16702,0.36821
335,2.16528,0.36514
336,2.16355,0.36211
337,2.16184,0.35914
338,2.16013,0.3562
339,2.15844,0.3533
340,2.15676,0.35045
341,2.15508,0.34763
342,2.15343,0.34486
343,2.15178,0.34213
344,2.15014,0.33942
345,2.14852,0.33677
346,2.14691,0.33414
347,2.14531,0.33155
348,2.14373,0.329
349,2.14215,0.32648
350,2.14059,0.324
351,2.13903,0.32155
352,2.13749,0.31913
353,2.13596,0.31675
354,2.13445,0.31439
355,2.13294,0.31206
356,2.13145,0.30978
357,2.12996,0.30751
358,2.12849,0.30527
359,2.12703,0.30307
360,2.12558,0.30088
361,2.12414,0.29874
362,2.12271,0.29662
363,2.1213,0.29452
364,2.11989,0.29245
365,2.1185,0.2904
366,2.11711,0.28838
367,2.11574,0.28639
368,2.11438,0.28441
369,2.11303,0.28247
370,2.11168,0.28055
371,2.11035,0.27864
372,2.10903,0.27677
373,2.10772,0.27491
374,2.10642,0.27308
375,2.10513,0.27127
376,2.10385,0.26947
377,2.10258,0.2677
378,2.10132,0.26595
379,2.10006,0.26422
380,2.09882,0.26251
381,2.09759,0.26082
382,2.09637,0.25915
383,2.09515,0.2575
384,2.09395,0.25586
385,2.09275,0.25425
386,2.09157,0.25265
387,2.09039,0.25106
388,2.08922,0.2495
389,2.08806,0.24795
390,2.08692,0.24642
391,2.08577,0.24491
392,2.08464,0.24341
393,2.08352,0.24193
394,2.0824,0.24047
395,2.08129,0.23902
396,2.0802,0.23759
397,2.07911,0.23616
398,2.07802,0.23476
399,2.07695,0.23337
400,2.07588,0.23199
401,2.07483,0.23063
402,2.07378,0.22928
403,2.07273,0.22795
404,2.0717,0.22663
405,2.07067,0.22532
406,2.06965,0.22402
407,2.06864,0.22275
408,2.06763,0.22147
409,2.06664,0.22022
410,2.06565,0.21898
411,2.06467,0.21774
412,2.06369,0.21652
413,2.06272,0.21532
414,2.06176,0.21412
415,2.06081,0.21293
416,2.05986,0.21176
417,2.05892,0.2106
418,2.05799,0.20945
419,2.05706,0.2083
420,2.05614,0.20717
421,2.05523,0.20605
422,2.05432,0.20494
423,2.05342,0.20385
424,2.05253,0.20276
425,2.05164,0.20168
426,2.05076,0.20061
427,2.04988,0.19955
428,2.04902,0.1985
429,2.04815,0.19746
430,2.0473,0.19643
431,2.04645,0.19541
432,2.0456,0.19439
433,2.04476,0.19339
434,2.04393,0.1924
435,2.0431,0.19141
436,2.04228,0.19043
437,2.04147,0.18946
438,2.04066,0.1885
439,2.03985,0.18755
440,2.03905,0.1866
441,2.03826,0.18567
442,2.03747,0.18474
443,2.03669,0.18382
444,2.03591,0.18291
445,2.03514,0.182
446,2.03437,0.1811
447,2.03361,0.18021
448,2.03285,0.17933
449,2.0321,0.17845
450,2.03136,0.17759
451,2.03061,0.17672
452,2.02988,0.17587
453,2.02915,0.17502
454,2.02842,0.17418
455,2.0277,0.17335
456,2.02698,0.17252
457,2.02627,0.1717
458,2.02556,0.17089
459,2.02485,0.17008
460,2.02416,0.16928
461,2.02346,0.16849
462,2.02277,0.1677
463,2.02209,0.16692
464,2.02141,0.16614
465,2.02073,0.16537
466,2.02006,0.1646
467,2.01939,0.16384
468,2.01873,0.16309
469,2.01807,0.16235
470,2.01741,0.1616
471,2.01676,0.16087
472,2.01611,0.16014
473,2.01547,0.15941
474,2.01483,0.15869
475,2.0142,0.15798
476,2.01357,0.15727
477,2.01294,0.15657
478,2.01232,0.15587
479,2.0117,0.15518
480,2.01108,0.15449
481,2.01047,0.1538
482,2.00986,0.15313
483,2.00926,0.15245
484,2.00866,0.15178
485,2.00806,0.15112
486,2.00747,0.15046
487,2.00688,0.14981
488,2.00629,0.14916
489,2.00571,0.14851
490,2.00513,0.14787
491,2.00456,0.14724
492,2.00398,0.1466
493,2.00342,0.14598
494,2.00285,0.14535
495,2.00229,0.14474
496,2.00173,0.14412
497,2.00117,0.14351
498,2.00062,0.1429
499,2.00007,0.1423
500,1.99953,0.14171
501,1.99899,0.14111
502,1.99845,0.14052
503,1.99791,0.13994
504,1.99738,0.13935
505,1.99685,0.13878
506,1.99632,0.1382
507,1.9958,0.13763
508,1.99528,0.13707
509,1.99476,0.1365
510,1.99424,0.13594
511,1.99373,0.13539
512,1.99322,0.13484
513,1.99272,0.13429
514,1.99222,0.13375
515,1.99171,0.1332
516,1.99122,0.13267
517,1.99072,0.13213
518,1.99023,0.1316
519,1.98974,0.13107
520,1.98925,0.13055
521,1.98877,0.13003
522,1.98829,0.12951
523,1.98781,0.129
524,1.98733,0.12849
525,1.98686,0.12798
526,1.98639,0.12747
527,1.98592,0.12697
528,1.98546,0.12648
529,1.98499,0.12598
530,1.98453,0.12549
531,1.98408,0.125
532,1.98362,0.12451
533,1.98317,0.12403
534,1.98272,0.12355
535,1.98227,0.12307
536,1.98182,0.1226
537,1.98138,0.12212
538,1.98094,0.12166
539,1.9805,0.12119
540,1.98006,0.12073
541,1.97963,0.12027
542,1.97919,0.11981
543,1.97876,0.11935
544,1.97834,0.1189
545,1.97791,0.11845
546,1.97749,0.11801
547,1.97707,0.11756
548,1.97665,0.11712
549,1.97623,0.11668
550,1.97582,0.11624
551,1.97541,0.11581
552,1.975,0.11538
553,1.97459,0.11495
554,1.97418,0.11452
555,1.97378,0.1141
556,1.97338,0.11368
557,1.97298,0.11326
558,1.97258,0.11284
559,1.97218,0.11242
560,1.97179,0.11201
561,1.9714,0.1116
562,1.97101,0.11119
563,1.97062,0.11079
564,1.97023,0.11039
565,1.96985,0.10999
566,1.96947,0.10959
567,1.96909,0.10919
568,1.96871,0.1088
569,1.96833,0.1084
570,1.96796,0.10801
571,1.96758,0.10763
572,1.96721,0.10724
573,1.96684,0.10686
574,1.96647,0.10647
575,1.96611,0.1061
576,1.96574,0.10572
577,1.96538,0.10534
578,1.96502,0.10497
579,1.96466,0.1046
580,1.96431,0.10423
581,1.96395,0.10386
582,1.9636,0.1035
583,1.96324,0.10313
584,1.96289,0.10277
585,1.96254,0.10241
586,1.9622,0.10205
587,1.96185,0.1017
588,1.96151,0.10134
589,1.96117,0.10099
590,1.96083,0.10064
591,1.96049,0.10029
592,1.96015,0.09994
593,1.95981,0.0996
594,1.95948,0.09926
595,1.95915,0.09892
596,1.95881,0.09858
597,1.95848,0.09824
598,1.95816,0.0979
599,1.95783,0.09757
600,1.9575,0.09723
601,1.95718,0.0969
602,1.95686,0.09657
603,1.95654,0.09625
604,1.95622,0.09592
605,1.9559,0.0956
606,1.95558,0.09527
607,1.95527,0.09495
608,1.95495,0.09463
609,1.95464,0.09431
610,1.95433,0.094
611,1.95402,0.09368
612,1.95371,0.09337
613,1.9534,0.09306
614,1.9531,0.09275
615,1.95279,0.09244
616,1.95249,0.09213
617,1.95219,0.09183
618,1.95189,0.09152
619,1.95159,0.09122
620,1.95129,0.09092
621,1.951,0.09062
622,1.9507,0.09032
623,1.95041,0.09002
624,1.95011,0.08973
625,1.94982,0.08943
626,1.94953,0.08914
627,1.94924,0.08885
628,1.94896,0.08856
629,1.94867,0.08827
630,1.94839,0.08798
631,1.9481,0.0877
632,1.94782,0.08741
633,1.94754,0.08713
634,1.94726,0.08685
635,1.94698,0.08657
636,1.9467,0.08629
637,1.94642,0.08601
638,1.94615,0.08574
639,1.94587,0.08546
640,1.9456,0.08519
641,1.94533,0.08491
642,1.94505,0.08464
643,1.94478,0.08437
644,1.94452,0.0841
645,1.94425,0.08384
646,1.94398,0.08357
647,1.94372,0.0833
648,1.94345,0.08304
649,1.94319,0.08278
650,1.94292,0.08252
651,1.94266,0.08226
652,1.9424,0.082
653,1.94214,0.08174
654,1.94189,0.08148
655,1.94163,0.08123
656,1.94137,0.08097
657,1.94112,0.08072
658,1.94086,0.08047
659,1.94061,0.08022
660,1.94036,0.07997
661,1.94011,0.07972
662,1.93986,0.07947
663,1.93961,0.07922
664,1.93936,0.07898
665,1.93911,0.07873
666,1.93886,0.07849
667,1.93862,0.07825
668,1.93838,0.07801
669,1.93813,0.07777
670,1.93789,0.07753
671,1.93765,0.07729
672,1.93741,0.07705
673,1.93717,0.07682
674,1.93693,0.07658
675,1.93669,0.07635
676,1.93645,0.07611
677,1.93622,0.07588
678,1.93598,0.07565
679,1.93575,0.07542
680,1.93552,0.07519
681,1.93528,0.07496
682,1.93505,0.07474
683,1.93482,0.07451
684,1.93459,0.07429
685,1.93436,0.07406
686,1.93413,0.07384
687,1.93391,0.07362
688,1.93368,0.0734
689,1.93346,0.07318
690,1.93323,0.07296
691,1.93301,0.07274
692,1.93278,0.07252
693,1.93256,0.0723
694,1.93234,0.07209
695,1.93212,0.07187
696,1.9319,0.07166
697,1.93168,0.07145
698,1.93146,0.07123
699,1.93125,0.07102
700,1.93103,0.07081
701,1.93081,0.0706
702,1.9306,0.0704
703,1.93038,0.07019
704,1.93017,0.06998
705,1.92996,0.06978
706,1.92975,0.06957
707,1.92954,0.06937
708,1.92933,0.06916
709,1.92912,0.06896
710,1.92891,0.06876
711,1.9287,0.06856
712,1.92849,0.06836
713,1.92829,0.06816
714,1.92808,0.06796
715,1.92787,0.06776
716,1.92767,0.06756
717,1.92747,0.06737
718,1.92726,0.06717
719,1.92706,0.06698
720,1.92686,0.06679
721,1.92666,0.06659
722,1.92646,0.0664
723,1.92626,0.06621
724,1.92606,0.06602
725,1.92586,0.06583
726,1.92567,0.06564
727,1.92547,0.06545
728,1.92527,0.06526
729,1.92508,0.06508
730,1.92488,0.06489
731,1.92469,0.0647
732,1.9245,0.06452
733,1.9243,0.06434
734,1.92411,0.06415
735,1.92392,0.06397
736,1.92373,0.06379
737,1.92354,0.06361
738,1.92335,0.06343
739,1.92316,0.06325
740,1.92297,0.06307
741,1.92279,0.06289
742,1.9226,0.06271
743,1.92241,0.06254
744,1.92223,0.06236
745,1.92204,0.06218
746,1.92186,0.06201
747,1.92168,0.06184
748,1.92149,0.06166
749,1.92131,0.06149
750,1.92113,0.06132
751,1.92095,0.06115
752,1.92077,0.06097
753,1.92059,0.0608
754,1.92041,0.06063
755,1.92023,0.06047
756,1.92005,0.0603
757,1.91987,0.06013
758,1.91969,0.05996
759,1.91952,0.0598
760,1.91934,0.05963
761,1.91917,0.05947
762,1.91899,0.0593
763,1.91882,0.05914
764,1.91864,0.05897
765,1.91847,0.05881
766,1.9183,0.05865
767,1.91813,0.05849
768,1.91795,0.05833
769,1.91778,0.05817
770,1.91761,0.05801
771,1.91744,0.05785
772,1.91727,0.05769
773,1.91711,0.05753
774,1.91694,0.05738
775,1.91677,0.05722
776,1.9166,0.05706
777,1.91644,0.05691
778,1.91627,0.05675
779,1.91611,0.0566
780,1.91594,0.05645
781,1.91578,0.05629
782,1.91561,0.05614
783,1.91545,0.05599
784,1.91529,0.05584
785,1.91512,0.05569
786,1.91496,0.05554
787,1.9148,0.05539
788,1.91464,0.05524
789,1.91448,0.05509
790,1.91432,0.05494
791,1.91416,0.05479
792,1.914,0.05465
793,1.91384,0.0545
794,1.91368,0.05435
795,1.91353,0.05421
796,1.91337,0.05406
797,1.91321,0.05392
798,1.91306,0.05377
799,1.9129,0.05363
800,1.91275,0.05349