252,1.52,0.001211
254,1.52,0.001171
256,1.52,0.001131
258,1.52,0.001093
260,1.52,0.001055
262,1.52,0.001019
264,1.52,0.000983
266,1.52,0.000949
268,1.52,0.000915
270,1.52,0.000882
272,1.52,0.00085
274,1.52,0.000819
276,1.51,0.000789
278,1.51,0.000759
280,1.51,0.00073
282,1.51,0.000702
284,1.51,0.000675
286,1.51,0.000649
288,1.51,0.000623
290,1.51,0.000598
292,1.51,0.000574
294,1.51,0.00055
296,1.51,0.000527
298,1.51,0.000505
300,1.51,0.000483
302,1.51,0.000462
304,1.51,0.000441
306,1.51,0.000421
308,1.5,0.000402
310,1.5,0.000383
312,1.5,0.000365
314,1.5,0.000348
316,1.5,0.000331
318,1.5,0.000314
320,1.5,0.000298
322,1.5,0.000283
324,1.5,0.000268
326,1.5,0.000253
328,1.5,0.00024
330,1.5,0.000226
332,1.5,0.000213
334,1.5,0.0002
336,1.5,0.000188
338,1.5,0.000177
340,1.5,0.000166
342,1.5,0.000155
344,1.5,0.000144
346,1.5,0.000135
348,1.5,0.000125
350,1.5,0.000116
352,1.5,0.000107
354,1.5,9.9e-05
356,1.5,9.1e-05
358,1.5,8.3e-05
360,1.49,7.6e-05
362,1.49,6.9e-05
364,1.49,6.3e-05
366,1.49,5.7e-05
368,1.49,5.1e-05
370,1.49,4.5e-05
372,1.49,4e-05
374,1.49,3.6e-05
376,1.49,3.1e-05
378,1.49,2.7e-05
380,1.49,2.3e-05
382,1.49,2e-05
384,1.49,1.6e-05
386,1.49,1.4e-05
388,1.49,1.1e-05
390,1.49,9e-06
392,1.49,7e-06
394,1.49,5e-06
396,1.49,3e-06
398,1.49,2e-06
400,1.49,1e-06
402,1.49,1e-06
404,1.49,0
406,1.49,0
408,1.49,0
410,1.49,0
412,1.49,0
414,1.49,0
416,1.49,0
418,1.49,0
420,1.49,0
422,1.49,0
424,1.49,0
426,1.49,0
428,1.49,0
430,1.49,0
432,1.49,0
434,1.49,0
436,1.49,0
438,1.49,0
440,1.49,0
442,1.49,0
444,1.49,0
446,1.49,0
448,1.49,0
450,1.49,0
452,1.48,0
454,1.48,0
456,1.48,0
458,1.48,0
460,1.48,0
462,1.48,0
464,1.48,0
466,1.48,0
468,1.48,0
470,1.48,0
472,1.48,0
474,1.48,0
476,1.48,0
478,1.48,0
480,1.48,0
482,1.48,0
484,1.48,0
486,1.48,0
488,1.48,0
490,1.48,0
492,1.48,0
494,1.48,0
496,1.48,0
498,1.48,0
500,1.48,0
502,1.48,0
504,1.48,0
506,1.48,0
508,1.48,0
510,1.48,0
512,1.48,0
514,1.48,0
516,1.48,0
518,1.48,0
520,1.48,0
522,1.48,0
524,1.48,0
526,1.48,0
528,1.48,0
530,1.48,0
532,1.48,0
534,1.48,0
536,1.48,0
538,1.48,0
540,1.48,0
542,1.48,0
544,1.48,0
546,1.48,0
548,1.48,0
550,1.48,0
552,1.48,0
554,1.48,0
556,1.48,0
558,1.48,0
560,1.48,0
562,1.48,0
564,1.48,0
566,1.48,0
568,1.48,0
570,1.48,0
572,1.48,0
574,1.48,0
576,1.48,0
578,1.48,0
580,1.48,0
582,1.48,0
584,1.48,0
586,1.48,0
588,1.48,0
590,1.48,0
592,1.48,0
594,1.48,0
596,1.48,0
598,1.48,0
600,1.48,0
602,1.48,0
604,1.48,0
606,1.48,0
608,1.48,0
610,1.48,0
612,1.48,0
614,1.48,0
616,1.48,0
618,1.48,0
620,1.48,0
622,1.48,0
624,1.48,0
626,1.48,0
628,1.48,0
630,1.48,0
632,1.48,0
634,1.48,0
636,1.48,0
638,1.48,0
640,1.48,0
642,1.48,0
644,1.48,0
646,1.48,0
648,1.48,0
650,1.48,0
652,1.48,0
654,1.48,0
656,1.48,0
658,1.48,0
660,1.48,0
662,1.48,0
664,1.48,0
666,1.48,0
668,1.48,0
670,1.48,0
672,1.48,0
674,1.48,0
676,1.48,0
678,1.47,0
680,1.47,0
682,1.47,0
684,1.47,0
686,1.47,0
688,1.47,0
690,1.47,0
692,1.47,0
694,1.47,0
696,1.47,0
698,1.47,0
700,1.47,0
702,1.47,0
704,1.47,0
706,1.47,0
708,1.47,0
710,1.47,0
712,1.47,0
714,1.47,0
716,1.47,0
718,1.47,0
720,1.47,0
722,1.47,0
724,1.47,0
726,1.47,0
728,1.47,0
730,1.47,0
732,1.47,0
734,1.47,0
736,1.47,0
738,1.47,0
740,1.47,0
742,1.47,0
744,1.47,0
746,1.47,0
748,1.47,0
750,1.47,0
752,1.47,0
754,1.47,0
756,1.47,0
758,1.47,0
760,1.47,0
762,1.47,0
764,1.47,0
766,1.47,0
768,1.47,0
770,1.47,0
772,1.47,0
774,1.47,0
776,1.47,0
778,1.47,0
780,1.47,0
782,1.47,0
784,1.47,0
786,1.47,0
788,1.47,0
790,1.47,0
792,1.47,0
794,1.47,0
796,1.47,0
798,1.47,0
800,1.47,0
802,1.47,0
804,1.47,0
806,1.47,0
808,1.47,0
810,1.47,0
812,1.47,0
814,1.47,0
816,1.47,0
818,1.47,0
820,1.47,0
822,1.47,0
824,1.47,0
826,1.47,0
828,1.47,0
830,1.47,0
832,1.47,0
834,1.47,0
836,1.47,0
838,1.47,0
840,1.47,0
842,1.47,0
844,1.47,0
846,1.47,0
848,1.47,0
850,1.47,0
852,1.47,0
854,1.47,0
856,1.47,0
858,1.47,0
860,1.47,0
862,1.47,0
864,1.47,0
866,1.47,0
868,1.47,0
870,1.47,0
872,1.47,0
874,1.47,0
876,1.47,0
878,1.47,0
880,1.47,0
882,1.47,0
884,1.47,0
886,1.47,0
888,1.47,0
890,1.47,0
892,1.47,0
894,1.47,0
896,1.47,0
898,1.47,0
900,1.47,0
902,1.47,0
904,1.47,0
906,1.47,0
908,1.47,0
910,1.47,0
912,1.47,0
914,1.47,0
916,1.47,0
918,1.47,0
920,1.47,0
922,1.47,0
924,1.47,0
926,1.47,0
928,1.47,0
930,1.47,0
932,1.47,0
934,1.47,0
936,1.47,0
938,1.47,0
940,1.47,0
942,1.47,0
944,1.47,0
946,1.47,0
948,1.47,0
950,1.47,0
952,1.47,0
954,1.47,0
956,1.47,0
958,1.47,0
960,1.47,0
962,1.47,0
964,1.47,0
966,1.47,0
968,1.47,0
970,1.47,0
972,1.47,0
974,1.47,0
976,1.47,0
978,1.47,0
980,1.47,0
982,1.47,0
984,1.47,0
986,1.47,0
988,1.47,0
990,1.47,0
992,1.47,0
994,1.47,0
996,1.47,0
998,1.47,0
1000,1.47,0
1002,1.47,0
1004,1.47,0
1006,1.47,0
1008,1.47,0
1010,1.47,0
1012,1.47,0
1014,1.47,0
1016,1.47,0
1018,1.47,0
1020,1.47,0
1022,1.47,0
1024,1.47,0
1026,1.47,0
1028,1.47,0
1030,1.47,0
1032,1.47,0
1034,1.47,0
1036,1.47,0
1038,1.47,0
1040,1.47,0
1042,1.47,0
1044,1.47,0
1046,1.47,0
1048,1.47,0
1050,1.47,0
1052,1.47,0
1054,1.47,0
1056,1.47,0
1058,1.47,0
1060,1.47,0
1062,1.47,0
1064,1.47,0
1066,1.47,0
1068,1.47,0
1070,1.47,0
1072,1.47,0
1074,1.47,0
1076,1.47,0
1078,1.47,0
1080,1.47,0
1082,1.47,0
1084,1.47,0
1086,1.47,0
1088,1.47,0
1090,1.47,0
1092,1.47,0
1094,1.47,0
1096,1.47,0
1098,1.47,0
1100,1.47,0
1102,1.47,0
1104,1.47,0
1106,1.47,0
1108,1.47,0
1110,1.47,0
1112,1.47,0
1114,1.47,0
1116,1.47,0
1118,1.47,0
1120,1.47,0
1122,1.47,0
1124,1.47,0
1126,1.47,0
1128,1.47,0
1130,1.47,0
1132,1.47,0
1134,1.47,0
1136,1.47,0
1138,1.47,0
1140,1.47,0
1142,1.47,0
1144,1.47,0
1146,1.47,0
1148,1.47,0
1150,1.47,0
1152,1.47,0
1154,1.47,0
1156,1.47,0
1158,1.47,0
1160,1.47,0
1162,1.47,0
1164,1.47,0
1166,1.47,0
1168,1.47,0
1170,1.47,0
1172,1.47,0
1174,1.47,0
1176,1.47,0
1178,1.47,0
1180,1.47,0
1182,1.47,0
1184,1.47,0
1186,1.47,0
1188,1.47,0
1190,1.47,0
1192,1.47,0
1194,1.47,0
1196,1.47,0
1198,1.47,0
1200,1.47,0
1202,1.47,0
1204,1.47,0
1206,1.47,0
1208,1.47,0
1210,1.47,0
1212,1.47,0
1214,1.47,0
1216,1.47,0
1218,1.47,0
1220,1.47,0
1222,1.47,0
1224,1.47,0
1226,1.47,0
1228,1.47,0
1230,1.47,0
1232,1.47,0
1234,1.47,0
1236,1.47,0
1238,1.47,0
1240,1.47,0
1242,1.47,0
1244,1.47,0
1246,1.47,0
1248,1.47,0
1250,1.47,0
