Wavelength (nm),glass_n,glass_k
300,1.5522,0
301,1.55191,0
302,1.55162,0
303,1.55133,0
304,1.55105,0
305,1.55076,0
306,1.55047,0
307,1.55018,0
308,1.54989,0
309,1.54961,0
310,1.54932,0
311,1.54903,0
312,1.54874,0
313,1.54845,0
314,1.54819,0
315,1.54788,0
316,1.54759,0
317,1.54729,0
318,1.547,0
319,1.54671,0
320,1.54643,0
321,1.54615,0
322,1.54587,0
323,1.54559,0
324,1.54532,0
325,1.54505,0
326,1.54479,0
327,1.54453,0
328,1.54427,0
329,1.54401,0
330,1.54375,0
331,1.5435,0
332,1.54325,0
333,1.54301,0
334,1.54276,0
335,1.54252,0
336,1.54228,0
337,1.54204,0
338,1.54181,0
339,1.54157,0
340,1.54134,0
341,1.54111,0
342,1.54089,0
343,1.54067,0
344,1.54045,0
345,1.54023,0
346,1.54001,0
347,1.5398,0
348,1.53959,0
349,1.53937,0
350,1.53916,0
351,1.53896,0
352,1.53875,0
353,1.53855,0
354,1.53835,0
355,1.53815,0
356,1.53796,0
357,1.53776,0
358,1.53757,0
359,1.53738,0
360,1.53719,0
361,1.53701,0
362,1.53682,0
363,1.53664,0
364,1.53645,0
365,1.53627,0
366,1.53609,0
367,1.53591,0
368,1.53573,0
369,1.53556,0
370,1.53539,0
371,1.53522,0
372,1.53506,0
373,1.53488,0
374,1.53472,0
375,1.53455,0
376,1.53438,0
377,1.53422,0
378,1.53406,0
379,1.53391,0
380,1.53375,0
381,1.53359,0
382,1.53343,0
383,1.53328,0
384,1.53312,0
385,1.53297,0
386,1.53283,0
387,1.53268,0
388,1.53253,0
389,1.53238,0
390,1.53224,0
391,1.53209,0
392,1.53195,0
393,1.53181,0
394,1.53167,0
395,1.53153,0
396,1.53139,0
397,1.53125,0
398,1.53112,0
399,1.53099,0
400,1.53085,0
401,1.53072,0
402,1.53059,0
403,1.53045,0
404,1.53033,0
405,1.5302,0
406,1.53007,0
407,1.52994,0
408,1.52981,0
409,1.52969,0
410,1.52957,0
411,1.52945,0
412,1.52933,0
413,1.52921,0
414,1.52908,0
415,1.52896,0
416,1.52884,0
417,1.52873,0
418,1.52862,0
419,1.5285,0
420,1.52839,0
421,1.52827,0
422,1.52816,0
423,1.52804,0
424,1.52793,0
425,1.52782,0
426,1.52772,0
427,1.52761,0
428,1.5275,0
429,1.5274,0
430,1.52729,0
431,1.52718,0
432,1.52708,0
433,1.52698,0
434,1.52687,0
435,1.52677,0
436,1.52667,0
437,1.52656,0
438,1.52647,0
439,1.52637,0
440,1.52627,0
441,1.52617,0
442,1.52607,0
443,1.52598,0
444,1.52588,0
445,1.52578,0
446,1.52569,0
447,1.5256,0
448,1.52551,0
449,1.52541,0
450,1.52532,0
451,1.52523,0
452,1.52513,0
453,1.52504,0
454,1.52496,0
455,1.52487,0
456,1.52478,0
457,1.52469,0
458,1.52461,0
459,1.52452,0
460,1.52443,0
461,1.52435,0
462,1.52426,0
463,1.52418,0
464,1.5241,0
465,1.52401,0
466,1.52393,0
467,1.52385,0
468,1.52376,0
469,1.52368,0
470,1.5236,0
471,1.52353,0
472,1.52345,0
473,1.52337,0
474,1.52329,0
475,1.52322,0
476,1.52313,0
477,1.52306,0
478,1.52298,0
479,1.5229,0
480,1.52283,0
481,1.52275,0
482,1.52268,0
483,1.5226,0
484,1.52253,0
485,1.52246,0
486,1.52238,0
487,1.52232,0
488,1.52225,0
489,1.52217,0
490,1.5221,0
491,1.52203,0
492,1.52196,0
493,1.52189,0
494,1.52182,0
495,1.52176,0
496,1.52169,0
497,1.52161,0
498,1.52155,0
499,1.52148,0
500,1.52141,0
501,1.52135,0
502,1.52128,0
503,1.52121,0
504,1.52115,0
505,1.52109,0
506,1.52103,0
507,1.52096,0
508,1.5209,0
509,1.52084,0
510,1.52077,0
511,1.52071,0
512,1.52065,0
513,1.52058,0
514,1.52052,0
515,1.52046,0
516,1.5204,0
517,1.52033,0
518,1.52028,0
519,1.52022,0
520,1.52016,0
521,1.5201,0
522,1.52004,0
523,1.51998,0
524,1.51992,0
525,1.51987,0
526,1.51981,0
527,1.51975,0
528,1.5197,0
529,1.51964,0
530,1.51959,0
531,1.51953,0
532,1.51947,0
533,1.51942,0
534,1.51937,0
535,1.51931,0
536,1.51925,0
537,1.5192,0
538,1.51914,0
539,1.51909,0
540,1.51904,0
541,1.51898,0
542,1.51893,0
543,1.51888,0
544,1.51883,0
545,1.51878,0
546,1.51873,0
547,1.51867,0
548,1.51862,0
549,1.51857,0
550,1.51852,0
551,1.51848,0
552,1.51843,0
553,1.51837,0
554,1.51832,0
555,1.51827,0
556,1.51823,0
557,1.51818,0
558,1.51813,0
559,1.51808,0
560,1.51803,0
561,1.51798,0
562,1.51794,0
563,1.51789,0
564,1.51784,0
565,1.5178,0
566,1.51775,0
567,1.5177,0
568,1.51765,0
569,1.51761,0
570,1.51757,0
571,1.51752,0
572,1.51748,0
573,1.51743,0
574,1.51739,0
575,1.51735,0
576,1.5173,0
577,1.51726,0
578,1.51721,0
579,1.51717,0
580,1.51712,0
581,1.51708,0
582,1.51703,0
583,1.51699,0
584,1.51695,0
585,1.5169,0
586,1.51687,0
587,1.51682,0
588,1.51678,0
589,1.51675,0
590,1.5167,0
591,1.51666,0
592,1.51662,0
593,1.51658,0
594,1.51653,0
595,1.51649,0
596,1.51646,0
597,1.51641,0
598,1.51637,0
599,1.51634,0
600,1.5163,0
601,1.51625,0
602,1.51622,0
603,1.51618,0
604,1.51614,0
605,1.5161,0
606,1.51606,0
607,1.51602,0
608,1.51598,0
609,1.51595,0
610,1.51591,0
611,1.51587,0
612,1.51584,0
613,1.5158,0
614,1.51576,0
615,1.51573,0
616,1.51569,0
617,1.51565,0
618,1.51562,0
619,1.51558,0
620,1.51554,0
621,1.51551,0
622,1.51547,0
623,1.51543,0
624,1.51539,0
625,1.51536,0
626,1.51532,0
627,1.51529,0
628,1.51526,0
629,1.51522,0
630,1.51519,0
631,1.51516,0
632,1.51512,0
633,1.51508,0
634,1.51505,0
635,1.51502,0
636,1.51498,0
637,1.51494,0
638,1.51491,0
639,1.51488,0
640,1.51484,0
641,1.51481,0
642,1.51478,0
643,1.51474,0
644,1.51471,0
645,1.51468,0
646,1.51465,0
647,1.51462,0
648,1.51459,0
649,1.51456,0
650,1.51452,0
651,1.51449,0
652,1.51446,0
653,1.51443,0
654,1.5144,0
655,1.51436,0
656,1.51433,0
657,1.5143,0
658,1.51427,0
659,1.51424,0
660,1.51421,0
661,1.51417,0
662,1.51414,0
663,1.51411,0
664,1.51408,0
665,1.51405,0
666,1.51402,0
667,1.51399,0
668,1.51396,0
669,1.51394,0
670,1.51391,0
671,1.51388,0
672,1.51385,0
673,1.51382,0
674,1.51379,0
675,1.51376,0
676,1.51373,0
677,1.5137,0
678,1.51367,0
679,1.51364,0
680,1.51361,0
681,1.51359,0
682,1.51356,0
683,1.51353,0
684,1.5135,0
685,1.51347,0
686,1.51344,0
687,1.51341,0
688,1.51339,0
689,1.51336,0
690,1.51334,0
691,1.51331,0
692,1.51328,0
693,1.51325,0
694,1.51323,0
695,1.5132,0
696,1.51317,0
697,1.51315,0
698,1.51312,0
699,1.51309,0
700,1.51306,0
701,1.51303,0
702,1.51301,0
703,1.51298,0
704,1.51296,0
705,1.51293,0
706,1.5129,0
707,1.51288,0
708,1.51286,0
709,1.51284,0
710,1.51282,0
711,1.51279,0
712,1.51277,0
713,1.51275,0
714,1.51273,0
715,1.51271,0
716,1.51269,0
717,1.51267,0
718,1.51265,0
719,1.51262,0
720,1.5126,0
721,1.51258,0
722,1.51256,0
723,1.51254,0
724,1.51252,0
725,1.5125,0
726,1.51248,0
727,1.51245,0
728,1.51243,0
729,1.51241,0
730,1.51239,0
731,1.51237,0
732,1.51235,0
733,1.51233,0
734,1.51231,0
735,1.51229,0
736,1.51226,0
737,1.51224,0
738,1.51222,0
739,1.5122,0
740,1.51218,0
741,1.51216,0
742,1.51214,0
743,1.51212,0
744,1.51209,0
745,1.51207,0
746,1.51205,0
747,1.51203,0
748,1.51201,0
749,1.51199,0
750,1.51197,0
751,1.51195,0
752,1.51192,0
753,1.5119,0
754,1.51188,0
755,1.51186,0
756,1.51184,0
757,1.51182,0
758,1.5118,0
759,1.51178,0
760,1.51175,0
761,1.51173,0
762,1.51171,0
763,1.51169,0
764,1.51167,0
765,1.51165,0
766,1.51163,0
767,1.51161,0
768,1.51158,0
769,1.51156,0
770,1.51154,0
771,1.51152,0
772,1.5115,0
773,1.51148,0
774,1.51146,0
775,1.51144,0
776,1.51142,0
777,1.51139,0
778,1.51137,0
779,1.51135,0
780,1.51133,0
781,1.51131,0
782,1.51129,0
783,1.51127,0
784,1.51125,0
785,1.51122,0
786,1.5112,0
787,1.51118,0
788,1.51116,0
789,1.51114,0
790,1.51112,0
791,1.5111,0
792,1.51108,0
793,1.51105,0
794,1.51103,0
795,1.51101,0
796,1.51099,0
797,1.51097,0
798,1.51095,0
799,1.51093,0
800,1.51091,0
801,1.51088,0
802,1.51086,0
803,1.51084,0
804,1.51082,0
805,1.5108,0
806,1.51078,0
807,1.51076,0
808,1.51074,0
809,1.51071,0
810,1.51069,0
811,1.51067,0
812,1.51065,0
813,1.51063,0
814,1.51061,0
815,1.51059,0
816,1.51057,0
817,1.51054,0
818,1.51052,0
819,1.5105,0
820,1.51048,0
821,1.51046,0
822,1.51044,0
823,1.51042,0
824,1.5104,0
825,1.51038,0
826,1.51035,0
827,1.51033,0
828,1.51031,0
829,1.51029,0
830,1.51027,0
831,1.51025,0
832,1.51023,0
833,1.51021,0
834,1.51018,0
835,1.51016,0
836,1.51014,0
837,1.51012,0
838,1.5101,0
839,1.51008,0
840,1.51006,0
841,1.51004,0
842,1.51001,0
843,1.50999,0
844,1.50997,0
845,1.50995,0
846,1.50993,0
847,1.50991,0
848,1.50989,0
849,1.50987,0
850,1.50984,0
851,1.50982,0
852,1.5098,0
853,1.50979,0
854,1.50977,0
855,1.50976,0
856,1.50974,0
857,1.50972,0
858,1.50971,0
859,1.50969,0
860,1.50968,0
861,1.50966,0
862,1.50965,0
863,1.50963,0
864,1.50962,0
865,1.5096,0
866,1.50959,0
867,1.50957,0
868,1.50956,0
869,1.50954,0
870,1.50952,0
871,1.50951,0
872,1.50949,0
873,1.50948,0
874,1.50946,0
875,1.50945,0
876,1.50943,0
877,1.50942,0
878,1.5094,0
879,1.50939,0
880,1.50937,0
881,1.50936,0
882,1.50934,0
883,1.50932,0
884,1.50931,0
885,1.50929,0
886,1.50928,0
887,1.50926,0
888,1.50925,0
889,1.50923,0
890,1.50922,0
891,1.5092,0
892,1.50919,0
893,1.50917,0
894,1.50916,0
895,1.50914,0
896,1.50912,0
897,1.50911,0
898,1.50909,0
899,1.50908,0
900,1.50906,0
